review_round,sample_id,region,target_min_side_px,labels_in_full_image,human_decision,reviewer_note,candidate_id,source_image_path,record_action,evidence_flag
2,manhole_018,Fengtai,29,manhole_cover;pothole,approve_manhole,,svrdd::train::09002200121707101441432948T_1295496200_481901600::manhole::005,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707101441432948T_1295496200_481901600.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_019,Haidian,29,crack;manhole_cover,approve_manhole,,svrdd::train::0900220000150516062908837A6_1293909900_483096900::manhole::004,data/raw/v2/svrdd/extracted/train/images/Haidian/0900220000150516062908837A6_1293909900_483096900.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_020,Xicheng,32,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121707130954362829S_1295241900_483000200::manhole::000,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121707130954362829S_1295241900_483000200.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_021,Chaoyang,29,crack;manhole_cover,approve_manhole,,svrdd::train::0900220012200307125720269HJ_1296021700_484048600::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200307125720269HJ_1296021700_484048600.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_022,Dongcheng,30,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121707020910582862Q_1296121500_482469300::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121707020910582862Q_1296121500_482469300.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_023,Fengtai,32,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902251000544922K_1295177300_481122300::manhole::002,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902251000544922K_1295177300_481122300.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_024,Haidian,30,manhole_cover;repaired_road,approve_manhole,,svrdd::train::0900220012200317104511881HJ_1294621400_482427300::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/0900220012200317104511881HJ_1294621400_482427300.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_025,Xicheng,39.999,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121902041335010202L_1295354500_482579500::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902041335010202L_1295354500_482579500.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_026,Chaoyang,31,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902241330503002G_1297640100_483992500::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200121902241330503002G_1297640100_483992500.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_027,Dongcheng,39,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121901201155299562Q_1295952900_481925000::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901201155299562Q_1295952900_481925000.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_028,Fengtai,57,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902221233073917F_1294771400_482193000::manhole::003,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902221233073917F_1294771400_482193000.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_029,Haidian,44,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130901111234685J3_1295273300_483493800::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130901111234685J3_1295273300_483493800.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_030,Xicheng,46,crack;manhole_cover,reject_unclear,It is difficult to recognize manhole it is dark outside and the color of manhole is the same I think,svrdd::train::09002200121902071610554602L_1295799200_482463400::manhole::000,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902071610554602L_1295799200_482463400.jpg,exclude_from_candidate_pool,unclear_visual_evidence
2,manhole_031,Chaoyang,36,crack;manhole_cover,approve_manhole,,svrdd::train::0900220012200311123429825HJ_1296566000_484202600::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200311123429825HJ_1296566000_484202600.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_032,Dongcheng,33,crack;manhole_cover,reject_unclear,It is difficult to recognize manhole it is dark outside and the color of manhole is the same I think,svrdd::train::09002200121901201519127722K_1295880800_483295000::manhole::002,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901201519127722K_1295880800_483295000.jpg,exclude_from_candidate_pool,unclear_visual_evidence
2,manhole_033,Fengtai,43,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121707111016148318T_1295699600_481892500::manhole::001,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707111016148318T_1295699600_481892500.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_034,Haidian,45,crack;manhole_cover;repaired_road,approve_manhole,,svrdd::train::0900220012200318111910242HG_1294823100_483382600::manhole::002,data/raw/v2/svrdd/extracted/train/images/Haidian/0900220012200318111910242HG_1294823100_483382600.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_035,Xicheng,44,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902031607043932L_1295588700_482921300::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902031607043932L_1295588700_482921300.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_036,Chaoyang,39,crack;manhole_cover,reject_not_manhole,"This is mistake, the box shows nothing related to manhole it is billboard",svrdd::train::09002200121902241051549002G_1297555000_484141000::manhole::000,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200121902241051549002G_1297555000_484141000.jpg,exclude_from_candidate_pool,incorrect_source_annotation
2,manhole_037,Dongcheng,46,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902201059382402K_1295628700_482035200::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121902201059382402K_1295628700_482035200.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_038,Fengtai,36,crack;manhole_cover;pothole,approve_manhole,,svrdd::train::09002200121902211247494792K_1295527400_481652600::manhole::003,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902211247494792K_1295527400_481652600.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_039,Haidian,28,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130902133949763J3_1294851200_483478500::manhole::002,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130902133949763J3_1294851200_483478500.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_040,Xicheng,44,crack;manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121902051227168892L_1295444500_482166300::manhole::003,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902051227168892L_1295444500_482166300.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_041,Chaoyang,32,crack;manhole_cover,reject_unclear,Because of shadow coming from tree difficult to detect manhole,svrdd::train::0900220012200307132305761HJ_1295927700_483845600::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200307132305761HJ_1295927700_483845600.jpg,exclude_from_candidate_pool,unclear_visual_evidence
2,manhole_042,Dongcheng,36,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121901201246397632K_1296230400_482954200::manhole::003,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901201246397632K_1296230400_482954200.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_043,Fengtai,39.999,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200122003171153212097C_1295477100_482019000::manhole::001,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200122003171153212097C_1295477100_482019000.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_044,Haidian,34,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130902132116965J3_1294832000_483516000::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130902132116965J3_1294832000_483516000.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_045,Xicheng,43,crack;manhole_cover,reject_unclear,"It is difficult to recognize manhole probably the color of manhole is the same as the asphalt has, I think",svrdd::train::09002200121902061640347392L_1295226900_482822700::manhole::003,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902061640347392L_1295226900_482822700.jpg,exclude_from_candidate_pool,unclear_visual_evidence
2,manhole_046,Chaoyang,28,crack;manhole_cover,approve_manhole,,svrdd::train::09002200122003141225166957C_1296716700_482575900::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200122003141225166957C_1296716700_482575900.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_047,Dongcheng,32,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121901261406482422K_1296187300_482779700::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901261406482422K_1296187300_482779700.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_048,Fengtai,33,manhole_cover;pothole,approve_manhole,,svrdd::train::09002200122003141217374696G_1294590300_481546300::manhole::002,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200122003141217374696G_1294590300_481546300.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_049,Haidian,31,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130902123653450J3_1294839100_483487300::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130902123653450J3_1294839100_483487300.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_050,Xicheng,38,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902051632402782L_1295603500_482485300::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902051632402782L_1295603500_482485300.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_051,Chaoyang,29,manhole_cover;repaired_road,approve_manhole,,svrdd::train::0900220012200315161243955HJ_1297037400_482039600::manhole::000,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200315161243955HJ_1297037400_482039600.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_052,Dongcheng,31,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121901210906562422K_1296342000_483112800::manhole::000,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901210906562422K_1296342000_483112800.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_053,Fengtai,29,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902181609183902K_1295303100_481847700::manhole::004,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902181609183902K_1295303100_481847700.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_054,Haidian,39,manhole_cover;repaired_road,reject_unclear,I can not see the manhole it is something else,svrdd::train::0900220012200317104523773HJ_1294600700_482427200::manhole::003,data/raw/v2/svrdd/extracted/train/images/Haidian/0900220012200317104523773HJ_1294600700_482427200.jpg,exclude_from_candidate_pool,unclear_visual_evidence
2,manhole_055,Xicheng,37,crack;manhole_cover,reject_unclear,"It is difficult to recognize manhole probably the color of manhole is the same as the asphalt has, I think",svrdd::train::09002200121902061640347392L_1295226900_482822700::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902061640347392L_1295226900_482822700.jpg,exclude_from_candidate_pool,unclear_visual_evidence
2,manhole_056,Chaoyang,32,crack;manhole_cover,approve_manhole,,svrdd::train::0900220012200307133044275HJ_1295924300_483600500::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200307133044275HJ_1295924300_483600500.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_057,Dongcheng,28,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121901201024009762Q_1295842200_481992400::manhole::003,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901201024009762Q_1295842200_481992400.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_058,Fengtai,39.999,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902231404406307F_1294852600_481949500::manhole::002,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902231404406307F_1294852600_481949500.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_059,Haidian,32,manhole_cover;repaired_road,approve_manhole,,svrdd::train::0900220012200317104523352HJ_1294601400_482427200::manhole::007,data/raw/v2/svrdd/extracted/train/images/Haidian/0900220012200317104523352HJ_1294601400_482427200.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
2,manhole_060,Xicheng,36,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121902041506146992L_1295673300_482381700::manhole::000,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902041506146992L_1295673300_482381700.jpg,retain_candidate_for_v2_pool,clearer_target_round2_review
