review_id,relative_path,supplied_label,model_prediction,model_confidence,review_decision,reviewer_note,review_source
E2-LQ-040,validation/crack/b402c15b0d78dbc23d037315.jpg,crack,repaired_road,56.9%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-041,validation/crack/2602a2fd0d938f1a4d74a0f5.jpg,crack,pothole,56.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-042,validation/crack/cfa4f70842a3b3886d735c49.jpg,crack,repaired_road,55.8%,visible_but_competing_condition,This is repaired road,user review captured in completed_label_review.pdf
E2-LQ-043,validation/crack/cfccf07ab692f2ce6fcd0297.jpg,crack,repaired_road,55.0%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-044,validation/crack/b48e88fc63e465beb2547f7c.jpg,crack,pothole,54.7%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-045,validation/crack/404b3495257a6aad870bf01e.jpg,crack,pothole,54.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-046,validation/crack/87ff931659bae03aec40f1ee.jpg,crack,repaired_road,54.1%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-047,validation/crack/a5db1f53862495c0ca664570.jpg,crack,normal_asphalt,53.9%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-048,validation/crack/35c5d104dfd6df67d2586001.jpg,crack,pothole,53.1%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-049,validation/crack/b1bf6f8497743fdc15a82bdd.jpg,crack,repaired_road,52.8%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-050,validation/crack/4374125555bab773d69ef75d.jpg,crack,normal_asphalt,52.5%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-051,validation/crack/ff376017e0d422f63eb75287.jpg,crack,repaired_road,52.3%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-052,validation/crack/ac677bb2daa1726a7aae831e.jpg,crack,pothole,52.3%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-053,validation/crack/cfb3052729b0ab233063e60a.jpg,crack,repaired_road,51.9%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-054,validation/crack/c3db03b9153c363c02b61424.jpg,crack,repaired_road,51.8%,visible_and_supported,Crack and repaired road,user review captured in completed_label_review.pdf
E2-LQ-055,validation/crack/2bce71ea3247beb8c184552f.jpg,crack,repaired_road,51.7%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-056,validation/crack/573c4b42eeef79f23f36b287.jpg,crack,repaired_road,51.6%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-057,validation/crack/c006164a65bed5c654527733.jpg,crack,normal_asphalt,51.5%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-058,validation/crack/bd83919e80a0bbe8f94fd65c.jpg,crack,repaired_road,51.4%,visible_but_competing_condition,Repaired road is more matches,user review captured in completed_label_review.pdf
E2-LQ-059,validation/crack/4d3931b6e5d7fd5fcffcb97e.jpg,crack,repaired_road,51.4%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-060,validation/crack/a8e9ca4c7b131b30e1c09be1.jpg,crack,pothole,51.1%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-061,validation/crack/dfde5da8e4b0e193b6e01a85.jpg,crack,repaired_road,51.0%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-062,validation/crack/11cbe08b871a447207e10fe3.jpg,crack,repaired_road,50.6%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-063,validation/crack/1e2136c0be0503e7c7b878b6.jpg,crack,repaired_road,50.0%,visible_but_competing_condition,This one looks like repaired road and normal asphalt,user review captured in completed_label_review.pdf
E2-LQ-064,validation/crack/e5c215d0b6d3ed6b5405911d.jpg,crack,repaired_road,50.0%,visible_and_supported,I see some cracks and repaired road,user review captured in completed_label_review.pdf
E2-LQ-065,validation/crack/c4a4688a64ec278f7cfcb78e.jpg,crack,repaired_road,49.9%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-066,validation/crack/b579cb958e289f49d6769c84.jpg,crack,pothole,49.8%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-067,validation/crack/5815f627c3d4746d1aa52841.jpg,crack,repaired_road,49.7%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-068,validation/crack/02eb24313b6f0faa25746864.jpg,crack,repaired_road,49.6%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-069,validation/crack/5c88ca38ec6fd26dc919a1c0.jpg,crack,unpaved_road,48.7%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-070,validation/crack/80ad924c241fc009203fe0a0.jpg,crack,repaired_road,47.9%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-071,validation/crack/ebc9ff3bda6965494357f5f0.jpg,crack,repaired_road,47.6%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-072,validation/crack/f2dcd056a0eab2eee4f23653.jpg,crack,repaired_road,47.6%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-073,validation/crack/009a622f67e0b3c73f18613d.jpg,crack,repaired_road,47.5%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-074,validation/crack/bb4349c93f5d45afc3f0713b.jpg,crack,unpaved_road,47.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-075,validation/crack/f434a95736427f8af5e78938.jpg,crack,pothole,46.7%,visible_and_supported,in the center it is manhole cover not pothole,user review captured in completed_label_review.pdf
E2-LQ-076,validation/crack/339977f669b91c03e0b60b38.jpg,crack,speed_bump,46.5%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-077,validation/crack/6ffb4bab82fb54ba1d496ee4.jpg,crack,repaired_road,45.8%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-078,validation/crack/f5da1f249f5e110796dee9be.jpg,crack,repaired_road,44.0%,visible_but_competing_condition,This is repaired road,user review captured in completed_label_review.pdf
E2-LQ-079,validation/crack/5230f0a16d2d9f6a73eb27be.jpg,crack,repaired_road,42.8%,visible_but_competing_condition,This is repaired road in half and normal asphalt,user review captured in completed_label_review.pdf
E2-LQ-080,validation/crack/a2625fdba6d282946b1f79fa.jpg,crack,normal_asphalt,40.0%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-081,validation/crack/2aff54336e9b46fe42767cdf.jpg,crack,normal_asphalt,34.5%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-082,validation/pothole/692628d51be96b2d3db4199d.jpg,pothole,crack,95.3%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-083,validation/pothole/c8e94198d35a9ad1de8943ba.jpg,pothole,crack,95.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-084,validation/pothole/499ac252b853caefb77dbd68.jpg,pothole,crack,93.8%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-085,validation/pothole/6ff0d4ccf16be44873c5628a.jpg,pothole,crack,92.0%,visible_and_supported,The shadow on surface reflects as crack,user review captured in completed_label_review.pdf
E2-LQ-086,validation/pothole/907197bc1181b8a723f53ce0.jpg,pothole,normal_asphalt,91.5%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-087,validation/pothole/06b46ae7b82579b59d06be10.jpg,pothole,crack,91.1%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-088,validation/pothole/a583efaaea37c49074f64bd6.jpg,pothole,repaired_road,91.0%,visible_but_competing_condition,Tiny pattern looks like pothole and in fact there is repaired road part in the image,user review captured in completed_label_review.pdf
E2-LQ-089,validation/pothole/fb8372c121cfa1a8c123b484.jpg,pothole,crack,90.0%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-090,validation/pothole/ca538026abf4772cff661f99.jpg,pothole,repaired_road,89.2%,visible_but_competing_condition,This is repaired road,user review captured in completed_label_review.pdf
E2-LQ-091,validation/pothole/59516af492c6bc0d63568657.jpg,pothole,crack,88.6%,visible_but_competing_condition,I would mark that as crack and we have shadows on the surface not potholes,user review captured in completed_label_review.pdf
E2-LQ-092,validation/pothole/d43788d6f2cca2707972ff2b.jpg,pothole,crack,87.5%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-093,validation/pothole/c28b4e5803134d1f336c1565.jpg,pothole,crack,87.3%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-094,validation/pothole/55413e39339c4f30d2f8d083.jpg,pothole,unpaved_road,87.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-095,validation/pothole/bacf71e80a84a70a08d0cd22.jpg,pothole,crack,85.9%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-096,validation/pothole/3f40c2592097c34d42ad53c1.jpg,pothole,crack,85.7%,visible_and_supported,pothole is there but the shadow is accepted as crack,user review captured in completed_label_review.pdf
E2-LQ-097,validation/pothole/64ce720fc4035fc3bd191f29.jpg,pothole,repaired_road,84.7%,not_visible_at_image_level,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-098,validation/pothole/8a13f5e1d5a618b70bac61db.jpg,pothole,crack,84.6%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-099,validation/pothole/28d95a80d83b8af6ff88c42f.jpg,pothole,crack,84.5%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-100,validation/pothole/7f195508d1da53c23116659b.jpg,pothole,crack,84.5%,visible_and_supported,Tiny pothole and manhole cover are present,user review captured in completed_label_review.pdf
E2-LQ-101,validation/pothole/01defa08548c4d6c4bd8722b.jpg,pothole,crack,84.3%,visible_and_supported,I see small pothole and 3 manhole covers,user review captured in completed_label_review.pdf
E2-LQ-102,validation/pothole/565346d4ab7754714d935574.jpg,pothole,crack,83.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-103,validation/pothole/14da09eb5ee5da71adc0cb8e.jpg,pothole,crack,82.9%,visible_and_supported,it is shadow not crack and there is tiny pothole,user review captured in completed_label_review.pdf
E2-LQ-104,validation/pothole/a4be90b34fbb998b0b8c90c4.jpg,pothole,crack,81.4%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-105,validation/pothole/a8ab4a7a73d60fb5f149e7b2.jpg,pothole,crack,81.3%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-106,validation/pothole/b41ce898586be034eb0ff7cf.jpg,pothole,crack,80.7%,visible_and_supported,Tiny pothole is there,user review captured in completed_label_review.pdf
E2-LQ-107,validation/pothole/0c4c4a4e2ecffd5977ddfc3f.jpg,pothole,crack,80.0%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-108,validation/pothole/6c747f6071240a3eff46e897.jpg,pothole,normal_asphalt,79.7%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-109,validation/pothole/e16e7b6c47240b13e2c7745f.jpg,pothole,crack,79.0%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-110,validation/pothole/ca944f535762a8a08c760265.jpg,pothole,crack,76.5%,visible_but_competing_condition,I would prefer to mark this image as crack,user review captured in completed_label_review.pdf
E2-LQ-111,validation/pothole/9e02156fdc8d62aedfb0b3b1.jpg,pothole,crack,75.0%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-112,validation/pothole/330fe0452ac6958e1791b5db.jpg,pothole,crack,74.6%,not_visible_at_image_level,The crack and speed bump are present,user review captured in completed_label_review.pdf
E2-LQ-113,validation/pothole/cf353412e9cb0e04221ab5cf.jpg,pothole,repaired_road,74.4%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-114,validation/pothole/3a6240840ddcf55bfeb5bc6e.jpg,pothole,crack,73.7%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-115,validation/pothole/2269b292ba83fae45133ab85.jpg,pothole,crack,72.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-116,validation/pothole/8d8be02512352c106d5739f8.jpg,pothole,crack,71.8%,visible_and_supported,The pothole is very small,user review captured in completed_label_review.pdf
E2-LQ-117,validation/pothole/ce313c9a99f94be71b494fa8.jpg,pothole,crack,69.3%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-118,validation/pothole/d298f42ce5d56830a397f1cf.jpg,pothole,crack,69.3%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-119,validation/pothole/99084089fa5501195e1caf9a.jpg,pothole,crack,68.6%,visible_and_supported,The pothole is very small,user review captured in completed_label_review.pdf
E2-LQ-120,validation/pothole/afeaf6797360fb50169df2f7.jpg,pothole,crack,68.2%,visible_and_supported,The pothole is very small,user review captured in completed_label_review.pdf
E2-LQ-121,validation/pothole/023df9e764811e48e1c6d2bb.jpg,pothole,crack,66.2%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-122,validation/pothole/e5bf26cc1f82a602fab509ae.jpg,pothole,crack,65.1%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-123,validation/pothole/95858265150b960924a627c5.jpg,pothole,crack,64.0%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-124,validation/pothole/ec2a940ec258b8ce36bb8e49.jpg,pothole,crack,61.8%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-125,validation/pothole/e6b5c36a4c59235756936e74.jpg,pothole,crack,61.2%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-126,validation/pothole/203a009796e74a1f81bf733a.jpg,pothole,crack,61.2%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-127,validation/pothole/10ccf7664f9eb67aef7d3e97.jpg,pothole,crack,60.3%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-128,validation/pothole/d69e765f86ce1422f79b138d.jpg,pothole,crack,58.2%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-129,validation/pothole/671028b06b080eaf90d14267.jpg,pothole,crack,57.2%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-130,validation/pothole/838185de0599849e3eb6690b.jpg,pothole,crack,56.4%,visible_and_supported,The crack is also present,user review captured in completed_label_review.pdf
E2-LQ-131,validation/pothole/e526228c25a9317edc217ecb.jpg,pothole,crack,56.2%,visible_and_supported,Crack and pothole are present,user review captured in completed_label_review.pdf
E2-LQ-132,validation/pothole/b614a074b3f9873e22af0665.jpg,pothole,crack,56.0%,visible_but_competing_condition,Here the crack is more visible than pothole so mark this as crack,user review captured in completed_label_review.pdf
E2-LQ-133,validation/pothole/39b7676ede34f4afe37667a9.jpg,pothole,crack,55.6%,visible_and_supported,I believe that on the surface some patterns of water leakage that model accept as cracks,user review captured in completed_label_review.pdf
E2-LQ-134,validation/pothole/90b75313e3022767c12b97a6.jpg,pothole,crack,55.4%,visible_and_supported,,user review captured in completed_label_review.pdf
E2-LQ-135,validation/pothole/22c1f78b2bb2ee1f4d0ae426.jpg,pothole,crack,55.1%,visible_and_supported,Crack and pothole are there,user review captured in completed_label_review.pdf
E2-LQ-136,validation/pothole/84600f8ffc764689740f09cc.jpg,pothole,crack,55.1%,visible_and_supported,Visible pothole and also crack is present in the image,user review captured in completed_label_review.pdf
E2-LQ-137,validation/pothole/fc72363c84da73038189cff4.jpg,pothole,crack,54.4%,visible_but_competing_condition,"I see pothole and crack is visible clearly so here we have a pothole and crack. moreover there is 
manhole_cover too",user review captured in completed_label_review.pdf
E2-LQ-138,validation/pothole/945f81b5d1015397aa52853f.jpg,pothole,crack,54.4%,not_visible_at_image_level,I do not see pothole but I see repaired road,user review captured in completed_label_review.pdf
E2-LQ-139,validation/pothole/d9946efc6704cbacde8ef4c4.jpg,pothole,crack,54.2%,visible_but_competing_condition,there is pothole and crack,user review captured in completed_label_review.pdf
E2-LQ-140,validation/pothole/7d1edeacd9332f2e3d8bf84f.jpg,pothole,crack,53.4%,visible_but_competing_condition,there is pothole and crack,user review captured in completed_label_review.pdf
E2-LQ-141,validation/pothole/66a88ad134de7dde3679247e.jpg,pothole,crack,53.1%,visible_but_competing_condition,I see a pothole and some dark area which is not really recognizable that looks like repaired road,user review captured in completed_label_review.pdf
E2-LQ-142,validation/pothole/049143bb8b4da1575dcb7d0c.jpg,pothole,normal_asphalt,52.6%,visible_but_competing_condition,In the image you can see repaired part of the road and a pothole,user review captured in completed_label_review.pdf
E2-LQ-143,validation/pothole/d671b0739fb1185b2c82d1d8.jpg,pothole,repaired_road,52.0%,not_visible_at_image_level,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-144,validation/pothole/f5d5cdc7b2328cb88d6160a3.jpg,pothole,crack,50.1%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-145,validation/pothole/42612b5666852144def1aaae.jpg,pothole,crack,42.9%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-146,validation/repaired_road/9b195d8c2b81a1cae3067d3a.jpg,repaired_road,crack,97.0%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-147,validation/repaired_road/57b7718db869f3916de63cec.jpg,repaired_road,crack,96.8%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
E2-LQ-148,validation/repaired_road/36d6e4d23eaa836cdd03d32f.jpg,repaired_road,crack,96.6%,visible_and_supported,"9/25/26, 6:34 PM V2-E2 label-quality review",user review captured in completed_label_review.pdf
